Reaction_No,Reactant_1_Name,Reactant_2_Name,Catalyst_1_Short_Hand,Ligand_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,,
1811,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,Et3N,DMF,42.84,,
1812,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,Et3N,DMF,38.79,,
1813,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,None,DMF,60.05,,
1814,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,None,DMF,79.66,,
1815,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,None,DMF,45.66,,
1816,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,None,DMF,68.03,,
1817,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,None,DMF,52.13,,
1818,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,None,DMF,49.82,,
1819,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,None,DMF,71.12,,
1820,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,None,DMF,48.21,,
1821,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,None,DMF,74.08,,
1822,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,None,DMF,10.39,,
1823,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,None,DMF,41.87,,
1824,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,None,DMF,27.76,,
1825,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,NaOH,MeOH,28.74,,
1826,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,NaOH,MeOH,91.00,,
1827,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,NaOH,MeOH,46.01,,
1828,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,NaOH,MeOH,62.34,,
1829,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,NaOH,MeOH,54.12,,
1830,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,NaOH,MeOH,36.30,,
1831,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,NaOH,MeOH,72.63,,
1832,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,NaOH,MeOH,39.80,,
1833,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,NaOH,MeOH,63.61,,
1834,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,NaOH,MeOH,56.00,,
1835,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,NaOH,MeOH,13.51,,
1836,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,NaOH,MeOH,56.71,,
1837,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,NaHCO3,MeOH,26.25,,
1838,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,NaHCO3,MeOH,92.54,,
1839,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,NaHCO3,MeOH,54.75,,
1840,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,NaHCO3,MeOH,89.22,,
1841,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,NaHCO3,MeOH,55.28,,
1842,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,NaHCO3,MeOH,46.34,,
1843,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,NaHCO3,MeOH,57.38,,
1844,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,NaHCO3,MeOH,34.96,,
1845,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,NaHCO3,MeOH,56.03,,
1846,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,NaHCO3,MeOH,60.07,,
1847,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,NaHCO3,MeOH,8.14,,
1848,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,NaHCO3,MeOH,48.04,,
1849,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,CsF,MeOH,30.54,,
1850,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,CsF,MeOH,80.77,,
1851,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,CsF,MeOH,38.15,,
1852,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,CsF,MeOH,79.56,,
1853,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,CsF,MeOH,48.82,,
1854,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,CsF,MeOH,41.54,,
1855,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,CsF,MeOH,31.36,,
1856,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,CsF,MeOH,41.41,,
1857,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,CsF,MeOH,36.08,,
1858,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,CsF,MeOH,36.34,,
1859,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,CsF,MeOH,3.82,,
1860,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,CsF,MeOH,25.24,,
1861,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,K3PO4,MeOH,25.47,,
1862,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,K3PO4,MeOH,94.74,,
1863,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,K3PO4,MeOH,55.38,,
1864,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,K3PO4,MeOH,83.07,,
1865,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,K3PO4,MeOH,61.24,,
1866,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,K3PO4,MeOH,40.40,,
1867,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,K3PO4,MeOH,74.29,,
1868,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,K3PO4,MeOH,43.56,,
1869,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,K3PO4,MeOH,68.52,,
1870,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,K3PO4,MeOH,72.78,,
1871,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,K3PO4,MeOH,7.86,,
1872,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,K3PO4,MeOH,56.83,,
1873,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,KOH,MeOH,19.33,,
1874,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,KOH,MeOH,94.20,,
1875,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,KOH,MeOH,51.10,,
1876,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,KOH,MeOH,82.87,,
1877,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,KOH,MeOH,58.21,,
1878,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,KOH,MeOH,35.00,,
1879,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,KOH,MeOH,73.51,,
1880,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,KOH,MeOH,50.39,,
1881,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,KOH,MeOH,71.60,,
1882,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,KOH,MeOH,73.84,,
1883,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,KOH,MeOH,8.77,,
1884,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,KOH,MeOH,60.30,,
1885,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,LiOtBu,MeOH,22.38,,
1886,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,LiOtBu,MeOH,94.74,,
1887,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,LiOtBu,MeOH,50.15,,
1888,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,LiOtBu,MeOH,86.78,,
1889,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,LiOtBu,MeOH,58.07,,
1890,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,LiOtBu,MeOH,36.27,,
1891,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,LiOtBu,MeOH,76.49,,
1892,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,LiOtBu,MeOH,51.87,,
1893,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,LiOtBu,MeOH,76.38,,
1894,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,LiOtBu,MeOH,60.63,,
1895,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,LiOtBu,MeOH,9.72,,
1896,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,LiOtBu,MeOH,65.09,,
1897,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,Et3N,MeOH,22.30,,
1898,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,Et3N,MeOH,86.35,,
1899,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,Et3N,MeOH,39.96,,
1900,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,Et3N,MeOH,74.99,,
1901,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,Et3N,MeOH,48.59,,
1902,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,Et3N,MeOH,42.82,,
1903,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,Et3N,MeOH,38.93,,
1904,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,Et3N,MeOH,31.27,,
1905,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,Et3N,MeOH,40.32,,
1906,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,Et3N,MeOH,46.06,,
1907,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,Et3N,MeOH,4.63,,
1908,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,Et3N,MeOH,30.44,,
1909,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,None,MeOH,24.85,,
1910,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,None,MeOH,67.67,,
1911,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,None,MeOH,31.33,,
1912,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,None,MeOH,60.57,,
1913,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,None,MeOH,39.76,,
1914,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,None,MeOH,34.18,,
1915,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,None,MeOH,29.22,,
1916,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,None,MeOH,31.24,,
1917,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,None,MeOH,28.87,,
1918,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,None,MeOH,30.61,,
1919,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,None,MeOH,5.17,,
1920,6-triflatequinoline,"2b, Boronic Ester",Pd(OAc)2,None,None,MeOH,24.96,,
1921,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,NaOH,MeCN,93.45,,
1922,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,NaOH,MeCN,91.77,,
1923,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,NaOH,MeCN,94.83,,
1924,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,NaOH,MeCN,85.66,,
1925,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,NaOH,MeCN,84.89,,
1926,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,NaOH,MeCN,94.39,,
1927,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,NaOH,MeCN,91.96,,
1928,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,NaOH,MeCN,91.59,,
1929,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,NaOH,MeCN,90.64,,
1930,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,NaOH,MeCN,48.61,,
1931,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,NaOH,MeCN,38.45,,
1932,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,NaOH,MeCN,76.79,,
1933,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,NaHCO3,MeCN,90.21,,
1934,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,NaHCO3,MeCN,86.31,,
1935,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,NaHCO3,MeCN,94.41,,
1936,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,NaHCO3,MeCN,83.44,,
1937,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,NaHCO3,MeCN,78.90,,
1938,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,NaHCO3,MeCN,87.12,,
1939,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,NaHCO3,MeCN,73.94,,
1940,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,NaHCO3,MeCN,73.15,,
1941,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,NaHCO3,MeCN,74.99,,
1942,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,NaHCO3,MeCN,76.88,,
1943,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,NaHCO3,MeCN,27.66,,
1944,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,NaHCO3,MeCN,50.98,,
1945,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,CsF,MeCN,77.29,,
1946,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,CsF,MeCN,82.90,,
1947,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,CsF,MeCN,91.18,,
1948,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,CsF,MeCN,73.98,,
1949,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,CsF,MeCN,77.15,,
1950,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,CsF,MeCN,88.58,,
1951,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,CsF,MeCN,76.20,,
1952,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,CsF,MeCN,71.75,,
1953,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,CsF,MeCN,72.25,,
1954,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,CsF,MeCN,72.92,,
1955,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,CsF,MeCN,29.54,,
1956,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,CsF,MeCN,44.21,,
1957,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,K3PO4,MeCN,73.51,,
1958,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,K3PO4,MeCN,76.58,,
1959,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,K3PO4,MeCN,85.14,,
1960,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,K3PO4,MeCN,65.61,,
1961,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,K3PO4,MeCN,66.38,,
1962,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,K3PO4,MeCN,83.98,,
1963,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,K3PO4,MeCN,81.32,,
1964,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,K3PO4,MeCN,76.91,,
1965,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,K3PO4,MeCN,71.22,,
1966,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,K3PO4,MeCN,72.54,,
1967,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,K3PO4,MeCN,35.15,,
1968,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,K3PO4,MeCN,59.64,,
1969,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,KOH,MeCN,91.28,,
1970,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,KOH,MeCN,94.13,,
1971,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,KOH,MeCN,99.05,,
1972,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,KOH,MeCN,91.07,,
1973,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,KOH,MeCN,86.97,,
1974,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,KOH,MeCN,95.97,,
1975,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,KOH,MeCN,93.95,,
1976,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,KOH,MeCN,93.52,,
1977,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,KOH,MeCN,93.06,,
1978,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,KOH,MeCN,78.36,,
1979,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,KOH,MeCN,55.00,,
1980,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,KOH,MeCN,81.86,,
1981,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,LiOtBu,MeCN,98.42,,
1982,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,LiOtBu,MeCN,94.70,,
1983,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,LiOtBu,MeCN,99.15,,
1984,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,LiOtBu,MeCN,92.42,,
1985,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,LiOtBu,MeCN,88.64,,
1986,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,LiOtBu,MeCN,96.48,,
1987,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,LiOtBu,MeCN,93.44,,
1988,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,LiOtBu,MeCN,91.86,,
1989,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,LiOtBu,MeCN,92.77,,
1990,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,LiOtBu,MeCN,51.05,,
1991,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,LiOtBu,MeCN,42.37,,
1992,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,LiOtBu,MeCN,65.49,,
1993,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,Et3N,MeCN,96.30,,
1994,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,Et3N,MeCN,94.38,,
1995,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,Et3N,MeCN,97.98,,
1996,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,Et3N,MeCN,85.57,,
1997,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,Et3N,MeCN,83.26,,
1998,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,Et3N,MeCN,94.32,,
1999,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,Et3N,MeCN,84.90,,
2000,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,Et3N,MeCN,79.89,,
2001,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,Et3N,MeCN,72.37,,
2002,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,Et3N,MeCN,69.77,,
2003,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,Et3N,MeCN,30.29,,
2004,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,Et3N,MeCN,46.05,,
2005,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,None,MeCN,90.88,,
2006,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,None,MeCN,79.83,,
2007,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,None,MeCN,86.16,,
2008,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,None,MeCN,61.84,,
2009,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,None,MeCN,58.42,,
2010,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,None,MeCN,71.98,,
2011,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,None,MeCN,63.70,,
2012,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,None,MeCN,62.23,,
2013,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,None,MeCN,48.24,,
2014,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,None,MeCN,48.85,,
2015,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,None,MeCN,16.31,,
2016,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,None,MeCN,36.35,,
2017,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,NaOH,THF,87.52,,
2018,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,NaOH,THF,86.40,,
2019,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,NaOH,THF,91.17,,
2020,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,NaOH,THF,75.17,,
2021,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,NaOH,THF,73.61,,
2022,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,NaOH,THF,92.59,,
2023,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,NaOH,THF,81.41,,
2024,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,NaOH,THF,76.01,,
2025,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,NaOH,THF,82.69,,
2026,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,NaOH,THF,42.57,,
2027,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,NaOH,THF,57.17,,
2028,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,NaOH,THF,82.24,,
2029,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,NaHCO3,THF,95.58,,
2030,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,NaHCO3,THF,94.23,,
2031,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,NaHCO3,THF,91.47,,
2032,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,NaHCO3,THF,75.42,,
2033,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,NaHCO3,THF,63.80,,
2034,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,NaHCO3,THF,87.50,,
2035,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,NaHCO3,THF,68.79,,
2036,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,NaHCO3,THF,51.23,,
2037,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,NaHCO3,THF,56.96,,
2038,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,NaHCO3,THF,31.65,,
2039,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,NaHCO3,THF,34.72,,
2040,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,None,NaHCO3,THF,49.38,,
2041,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(tBu)3,CsF,THF,70.10,,
2042,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Ph)3 ,CsF,THF,73.19,,
2043,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,AmPhos,CsF,THF,79.38,,
2044,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(Cy)3,CsF,THF,64.74,,
2045,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,P(o-Tol)3,CsF,THF,51.31,,
2046,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,CataCXium A,CsF,THF,73.74,,
2047,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,SPhos,CsF,THF,50.98,,
2048,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dtbpf,CsF,THF,45.02,,
2049,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,XPhos,CsF,THF,41.21,,
2050,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,dppf,CsF,THF,27.48,,
2051,6-Iodoquinoline,"2b, Boronic Ester",Pd(OAc)2,Xantphos,CsF,THF,25.12,,
